,,Picked,Picked,Picked,Picked,Picked,Picked,Picked,Picked,Picked,Picked,Picked,Picked,Picked
Country,,AT,BE,CH,DE,DK,FI,FR,GB,IE,MT,NL,NO,SE
InventorySku,zone,,,,,,,,,,,,,
A001,01,,,,,,,,,,,,,112.0
A002,01,,,,,,155.0,,,,,,,176.0
A003,01,,,,,,,,,,,789.0,,
A004,01,,,,,,,,,,,,184.0,
A005,01,,1823.0,,,,,1907.0,,,,,,
A006,01,,255.0,,,,,,,,,43.0,,
A007,01,,,,,,,,,,,290.0,,
A008,01,47.0,,69.0,97.0,,,90.0,,,,,,
A009,01,,,,,,417.0,,,,,,,1154.0
A010,01,,,,,,,,183.0,522.0,220.0,,,
A011,01,,,,,,,,183.0,522.0,220.0,,,
A012,01,,,,,,,,,,,,625.0,
A013,01,,,,,,404.0,,,,,,,1585.0
A014,01,,,,,,,,,,,,,1219.0
A015,01,,1913.0,,,,,1681.0,,,,740.0,,
A016,01,,,,,,172.0,,,,,,,741.0
A017,01,,,,,,278.0,,,,,,,1050.0
A018,01,1663.0,,,4111.0,,,,,,,,,
A019,01,897.0,,,2879.0,,,,,,,,,
A020,01,,,780.0,,,,,,,,,,
A021,01,317.0,,,1688.0,,,719.0,,,,,,
A022,01,,,,,,,,132.0,828.0,196.0,,,
A023,01,,,,,,,,,,,,3635.0,
A024,01,,,,,1024.0,,,,,,,1543.0,
A025,01,,,,,,,,,,,,1874.0,
A026,01,,,,,,,,,,,,208.0,133.0
A027,01,,,,,,,,,,,2022.0,,
A028,01,,341.0,,,,,,,,,,,
A029,01,,,,,,16.0,,,,,,,56.0
A030,01,527.0,,,1754.0,,,,,,,,,
A031,01,,3455.0,,,,,,,,,2370.0,,
A032,01,,13355.0,,,,,8924.0,,,,,,
A033,01,1013.0,,,2342.0,,,,,,,,,
A034,01,,,3342.0,,,,4774.0,,,,,,
A035,01,1276.0,,,2660.0,,,,,,,,,
A036,01,119.0,,,349.0,,,,,,,,,
A038,01,,,,,,,,22.0,113.0,97.0,,,
A039,01,148.0,,,297.0,,,,,,,,,
A040,01,,,,,648.0,,,56.0,485.0,,,,
A041,01,,,1256.0,,,,2233.0,,,,,,
A042,01,,,3604.0,,,,,,,,,,
A043,01,,,,,,,,,,,,1242.0,
A044,01,,,,,,287.0,,,,,,,1175.0
A045,01,,,,,,,,75.0,320.0,286.0,,,
A046,01,,,,,,124.0,,,,,,,319.0
A047,01,,,,,,,,,,,,2320.0,
A048,01,,,,,,,,,,,1790.0,,
A049,01,,,,,,,,,,,,331.0,
A050,01,,,,,,,,,,,1749.0,,
A051,01,,4332.0,,,,,,,,,,,
A053,01,,,,,,,,147.0,590.0,82.0,,,
A054,01,,,,,,,,148.0,490.0,116.0,,,
A055,01,,,,,,,,3.0,25.0,10.0,,,
A056,01,,,,,,,734.0,,,,,,
A057,01,,,,,,,,138.0,728.0,120.0,,,
A058,03,,156.0,,,,,,,,,,,
A059,03,61.0,,158.0,198.0,,,,,,,,,
A060,03,,,,,129.0,,,,,,,,
A061,03,42.0,,83.0,81.0,,,110.0,,,,,,
A062,03,,236.0,,,,,117.0,,,,,,
A063,03,,,,,,,,,,,,294.0,
A064,03,629.0,,,857.0,,,,,,,,,
A065,03,,,,,,33.0,,,,,,,83.0
A066,03,,,,,,,,,,,,26.0,19.0
A067,03,34.0,,117.0,97.0,,,,,,,,,
A068,03,,,349.0,,,,,,,,,,
A069,03,,557.0,,,,,,,,,433.0,,
A071,03,,,,,114.0,,,,,,,,
A072,03,,,,,,,,,,,,230.0,
A073,03,,,,,,,,,,,,6203.0,
A074,03,,,646.0,,,,3141.0,,,,,,
A075,03,,,,,324.0,,,,,,,,
A076,03,,465.0,,,,,228.0,,,,72.0,,
A077,03,,,,,,,,65.0,427.0,100.0,,,
A078,03,,,,,,196.0,,,,,,,669.0
A079,03,,,267.0,,,,,,,,,,
A080,03,,,,,,,,,,,7366.0,,
A082,03,,5498.0,,,,,,,,,,,
A083,03,1701.0,,,4984.0,,,,,,,,,
A084,03,,5944.0,,,,,,,,,2952.0,,
A085,03,391.0,,,1659.0,,,,,,,,,
A086,03,,7130.0,,,,,,,,,,,
A087,03,2941.0,,,5903.0,,,,,,,,,
A088,03,,,,,,241.0,4064.0,,,,,1208.0,
A089,03,234.0,,,738.0,,,,,,,,,
A090,03,,,,,297.0,,,,,,,531.0,
A091,03,322.0,,922.0,3648.0,,,1239.0,,,,,,
A092,03,,4485.0,,,,,,,,,2624.0,,
A093,03,,,2764.0,,,,5313.0,,,,,,
A094,03,,,,,,,,,,,,,1891.0
A095,03,,,,,,,,,,,2336.0,,
A096,03,,,1708.0,,,,,,,,,,
A097,03,,1032.0,,,,,,,,,1476.0,,
A098,03,,,,,,,,,,,,720.0,
A099,03,,,,,,,5716.0,,,,2160.0,,
A100,03,,2309.0,,,,,,,,,,,
A101,03,,3421.0,,,,,,,,,,,
A102,03,,,,,,,,37.0,82.0,28.0,,,
A103,03,,,,,,,,110.0,399.0,,,,
A105,03,,,,,,69.0,,,,,,,258.0
A106,03,,2205.0,,,,,,,,,,,
A107,03,,,,,,,,4.0,19.0,21.0,,,
A108,03,,,,,,217.0,,,,,,,517.0
A109,03,,,312.0,,,,,,,,,,
A110,05,,1450.0,,,,,,,,,,,
A111,05,,,,,,,,,,,,272.0,
A112,05,,,,,,,,,,,,214.0,
A113,05,,,,,,,,,,,,767.0,
A114,05,,,,,,,,,,,,609.0,
A115,05,,,,,,167.0,,,,,,,214.0
A116,05,,,,,,,,,,,,57.0,26.0
A117,05,,,783.0,,,,,,,,,,
A118,05,,,,,,,,37.0,55.0,77.0,,,
A119,05,,,,,,,,3.0,4.0,,,,
A120,05,55.0,,54.0,53.0,,,,,,,,,
A121,05,,,,,,,,28.0,86.0,,,,
A122,05,,,,,,551.0,,,,,,,1069.0
A123,05,,,,,,214.0,,,,,,,748.0
A124,05,,6048.0,,,,,,,,,,,
A125,05,,,,,,582.0,,,,,,,1675.0
A126,05,1250.0,,1687.0,3168.0,,,,,,,,,
A127,05,1815.0,,3235.0,4120.0,,,,,,,,,
A128,05,443.0,,569.0,738.0,,,,,,,,,
A129,05,,,,,,,,,,,,1286.0,
A130,05,192.0,,,852.0,,,,,,,,,
A131,05,,,255.0,,,,,,,,,,
A132,05,1716.0,,,6088.0,,,,,,,,,
A133,05,,190.0,,,,,,,,,44.0,,
A134,05,,,,,,89.0,,,,,,,336.0
A135,05,,,,,,,,,,,,,1651.0
A136,05,,3359.0,,,,,,,,,,,
A137,05,,,,,,,,,,,2194.0,,
A138,05,,1267.0,,,,,581.0,,,,198.0,,
A139,05,,,,,,,,,,,,437.0,
A140,05,,,1983.0,,,,4848.0,,,,,,
A142,05,804.0,,1144.0,1645.0,,,,,,,,,
A143,05,,,,,,,,500.0,1647.0,261.0,,,
A144,05,,395.0,,,,,203.0,,,,77.0,,
A145,05,,,,,,,,,,,,1962.0,
A146,05,742.0,,,2128.0,,,,,,,,,
A147,05,,,,,,,198.0,,,,,,
A148,05,,,,,2640.0,,,,,,,,
A149,05,,,,,,,,,,,74.0,,
A150,05,941.0,,,2976.0,,,,,,,,,
A151,05,,2253.0,,,,,,,,,464.0,,
A152,05,,,,,,126.0,,,,,,,400.0
A153,05,,,,,,50.0,,,,,,,183.0
A154,05,,,,,,435.0,,,,,,,1557.0
A155,05,,,,,,,,,,,1736.0,,
A156,05,,,,,,174.0,,,,,,,645.0
A157,05,,,2031.0,,,,3265.0,,,,,,
A158,05,,1143.0,,,,,,,,,,,
A159,05,,,,,,,1575.0,,,,933.0,,
A160,05,,,,,,,,,,,,1234.0,
A161,05,,,936.0,,,,5056.0,,,,,,
A162,05,247.0,,189.0,535.0,,,873.0,,,,,,
A163,05,,,,,,,,39.0,125.0,43.0,,,
A164,05,,,1503.0,,,,1617.0,,,,,,
A165,05,,,,,,,959.0,,,,,,
A166,07,,,,,,,,3.0,10.0,,,,
A167,07,,,,,234.0,,,,,,,,
A168,07,,,,,,224.0,,,,,,,481.0
A169,07,,,,,,,,,,,,94.0,
A170,07,,,,,,,,,,,,102.0,
A171,07,,,,,,,,,,,,76.0,
A172,07,,,,,,,,3.0,22.0,,,,
A173,07,,,,,,31.0,,,,,,,29.0
A174,07,,,,,,20.0,,,,,,,105.0
A175,07,,,,,,9.0,,,,,,,27.0
A176,07,,,,,,,334.0,,,,290.0,,
A177,07,,,,,,,,3.0,3.0,9.0,,,
A178,07,,,,,,,,3.0,3.0,9.0,,,
A179,07,,,,,,,,,,,,1147.0,
A180,07,,,,,794.0,,,,,,,,
A181,07,,,,,,,,,,,1822.0,,
A182,07,,,,,,,2074.0,,,,569.0,,
A183,07,452.0,839.0,291.0,800.0,,,949.0,,,,120.0,,
A184,07,,,,,,443.0,,,,,,,2583.0
A185,07,,,,,250.0,,,,,,,,
A186,07,,,,,189.0,,,,,,,,
A187,07,,,,,,586.0,2330.0,,,,,3255.0,
A188,07,,,,,,,341.0,,,,,,
A189,07,,,,,,,930.0,,,,,,
A190,07,,,,,,,384.0,,,,,,
A191,07,,,,,,,,35.0,310.0,,,,
A192,07,,,,,,,,4.0,17.0,56.0,,,
A193,07,,,,,,,,,,,,1750.0,
A194,07,,,,,356.0,,,,,,,319.0,
A195,07,,,,,3204.0,,,,,,,3826.0,
A196,07,,,,,942.0,,,,,,,,
A197,07,,,,,,,,,,,,396.0,
A198,07,,,,,,,,,,,617.0,,
A199,07,,,,,1048.0,,,,,,,,
A200,07,,21348.0,,,,,,,,,2673.0,,
A201,07,,1630.0,,,,,,,,,501.0,,
A202,07,,,,,836.0,,,,,,,,
A203,07,,2201.0,,,,,,,,,1441.0,,
A204,07,4007.0,,,10676.0,,,,131.0,1101.0,671.0,,,
A205,07,,1150.0,,,,,,,,,554.0,,
A206,07,,,1097.0,,,,1728.0,,,,,,
A207,07,2077.0,,,5904.0,,,,,,,,,
A208,07,,,,,,,3570.0,,,,,,
A209,07,,,,,,279.0,,,,,,,563.0
